,long_quote_id,lead_id,last_utm_source,has_been_proposed_formulas,has_chosen_formula,has_subscribed_online,submitted_at,effective_start_date,rbs_result,provider,product_third_party,product_intermediate,product_all_risks,annual_price_third_party,annual_price_intermediate,annual_price_all_risks,chosen_formula,chosen_product,policy_subscribed_at,contract_id,payment_frequency,main_driver_age,main_driver_gender,main_driver_licence_age,main_driver_bonus,vehicle_age,vehicle_class,vehicle_group,vehicle_region,has_secondary_driver,has_subscribed
0,7527452923606463240,-1065398551916348537,,False,False,False,2021-09-01 18:18:19 UTC,2021-09-05,,,,,,,,,,,,,,40-59,M,15+,064-084,03-05,I-K,31-32,Picardie,False,False
1,2676593580459190130,-3188174584045372774,,False,False,False,2021-09-01 12:29:25 UTC,2021-09-03,,,,,,,,,,,,,,40-59,F,15+,050,10-14,I-K,29-30,Rhone-Alpes,True,False
2,-8181351603970286153,809161028469555575,,False,False,False,2021-09-01 03:52:34 UTC,2021-11-01,,,,,,,,,,,,,,40-59,M,15+,100,00,O-R,35+,Champagne-Ardenne,True,False
3,-764732241225017791,-3998524949057029294,,False,False,False,2021-09-01 13:23:07 UTC,2021-09-12,,,,,,,,,,,,,,21-24,F,03-06,085-099,10-14,O-R,33-34,Haute-Normandie,True,False
4,-6788988993999017586,6417788977143244366,,False,False,False,2021-09-01 12:01:23 UTC,2021-09-30,,,,,,,,,,,,,,21-24,M,00,100,10-14,L-N,31-32,Picardie,False,False
5,8385606861476776526,1107216115348353489,,False,False,False,2021-09-01 16:40:43 UTC,2021-10-10,,,,,,,,,,,,,,40-59,M,15+,064-084,03-05,I-K,31-32,Centre,True,False
6,7225091224918103425,-1611525438669725931,,False,False,False,2021-09-01 10:55:10 UTC,2021-10-14,,,,,,,,,,,,,,18-20,F,00,100,06-09,O-R,35+,Alsace,False,False
7,719486491181929835,-836182760724058718,,False,False,False,2021-09-01 15:26:24 UTC,2021-09-05,,,,,,,,,,,,,,40-59,M,15+,100,20+,F-H,27-28,Pays De La Loire,False,False
8,-9015411223649139667,4541545370820667938,,False,False,False,2021-09-01 18:00:18 UTC,2021-09-10,,,,,,,,,,,,,,18-20,M,00,100,10-14,L-N,33-34,Provence-Alpes-Cote D'azur,False,False
9,6079822854281820999,4102254076377596124,,False,False,False,2021-09-01 14:29:09 UTC,2021-09-20,,,,,,,,,,,,,,21-24,M,03-06,100,03-05,O-R,35+,Bretagne,True,False
10,-7247650444290653422,4046773073703110102,,False,False,False,2021-09-01 12:02:44 UTC,2021-09-01,,,,,,,,,,,,,,40-59,M,03-06,100,20+,O-R,35+,Midi-Pyrenees,False,False
11,-4895211765390788065,8495421249975566580,,False,False,False,2021-09-01 17:04:22 UTC,2021-09-15,,,,,,,,,,,,,,25-29,F,03-06,100,06-09,F-H,27-28,Rhone-Alpes,True,False
12,-4878533875216134782,1987084710173535232,,False,False,False,2021-09-01 02:17:41 UTC,2021-10-10,,,,,,,,,,,,,,18-20,M,02,085-099,03-05,L-N,33-34,Provence-Alpes-Cote D'azur,False,False
13,6465077632091628982,-4459753391977911285,,False,False,False,2021-09-01 14:23:42 UTC,2021-10-01,,,,,,,,,,,,,,30-39,M,01,100,15-19,I-K,31-32,Corse,False,False
14,1649922127372776813,-3033236720940080180,,False,False,False,2021-09-01 11:08:26 UTC,2021-09-04,,,,,,,,,,,,,,21-24,M,02,100,10-14,O-R,35+,Bretagne,False,False
15,4112698331058893308,-2787627920888523984,,False,False,False,2021-09-01 06:07:22 UTC,2021-09-01,,,,,,,,,,,,,,30-39,M,00,100,15-19,F-H,27-28,Aquitaine,False,False
16,-5983010990922485641,-7901428531884917300,,False,False,False,2021-09-01 18:35:03 UTC,2021-09-02,,,,,,,,,,,,,,40-59,F,03-06,085-099,20+,F-H,31-32,Centre,False,False
17,4126472194368064946,2644838036179084639,,False,False,False,2021-09-01 18:38:03 UTC,2021-09-30,,,,,,,,,,,,,,21-24,M,00,100,15-19,L-N,33-34,Pays De La Loire,False,False
18,8358847192449959296,-3413776700834287851,,False,False,False,2021-09-01 20:21:35 UTC,2021-09-12,,,,,,,,,,,,,,30-39,M,00,100,20+,F-H,27-28,Haute-Normandie,False,False
19,-4776226692695939353,7509230736196322684,,False,False,False,2021-09-01 10:29:17 UTC,2021-09-15,,,,,,,,,,,,,,40-59,F,15+,050,03-05,L-N,33-34,Alsace,True,False
20,-5564893926154265156,6007475069273989421,,False,False,False,2021-09-01 10:15:40 UTC,2021-09-10,,,,,,,,,,,,,,21-24,M,03-06,100,10-14,O-R,35+,Bourgogne,False,False
21,-714195317932706770,8115159440641544532,,False,False,False,2021-09-01 08:47:23 UTC,2021-09-01,,,,,,,,,,,,,,25-29,M,07-14,085-099,03-05,S-T,35+,Provence-Alpes-Cote D'azur,False,False
22,-536406628343373166,4806477340156473328,,False,False,False,2021-09-01 15:07:02 UTC,2021-11-01,,,,,,,,,,,,,,40-59,M,15+,050,03-05,,,Ile-De-France,False,False
23,4539490267553099388,-808917735365788663,,False,False,False,2021-09-01 20:39:51 UTC,2021-09-30,,,,,,,,,,,,,,21-24,M,00,100,20+,F-H,31-32,Aquitaine,False,False
24,1013705357296695230,-4645764098891161803,,False,False,False,2021-09-01 12:05:52 UTC,2021-10-01,,,,,,,,,,,,,,40-59,M,15+,050,06-09,L-N,31-32,Rhone-Alpes,False,False
25,2244885714367521991,6007475069273989421,,False,False,False,2021-09-01 10:16:28 UTC,2021-09-10,,,,,,,,,,,,,,21-24,M,03-06,100,10-14,L-N,35+,Bourgogne,False,False
26,-3149259579521415542,7577156475667347279,,False,False,False,2021-09-01 15:20:25 UTC,2021-09-01,,,,,,,,,,,,,,18-20,F,00,100,20+,L-N,31-32,Alsace,False,False
27,-9221668841074748352,-7578350356218543182,,False,False,False,2021-09-01 14:43:09 UTC,2021-09-02,,,,,,,,,,,,,,40-59,F,07-14,100,15-19,A-E,20-26,Ile-De-France,False,False
28,-6302095312901893233,1830247197528192557,,False,False,False,2021-09-01 09:15:34 UTC,2021-09-08,,,,,,,,,,,,,,30-39,M,02,100,10-14,L-N,31-32,Ile-De-France,False,False
29,5524468499910000051,-3560145716354874293,,False,False,False,2021-09-01 06:07:45 UTC,2021-09-07,,,,,,,,,,,,,,30-39,M,07-14,100,00,,,Pays De La Loire,False,False
30,-8331789516284958054,-2505760627099423444,,False,False,False,2021-09-01 21:23:07 UTC,2021-12-02,,,,,,,,,,,,,,21-24,F,03-06,100,10-14,O-R,33-34,Lorraine,False,False
31,4143104828652346404,-26488620924883223,,False,False,False,2021-09-01 13:35:20 UTC,2021-09-01,,,,,,,,,,,,,,40-59,F,15+,050,10-14,A-E,27-28,Languedoc-Roussillon,True,False
32,-3138860160717964898,6019423393826474268,,False,False,False,2021-09-01 14:24:57 UTC,2021-09-15,,,,,,,,,,,,,,40-59,F,15+,050,03-05,F-H,31-32,Bretagne,True,False
33,-2055024610672907389,2024690074001769586,,False,False,False,2021-09-01 22:45:17 UTC,2021-09-10,,,,,,,,,,,,,,18-20,M,00,100,20+,F-H,29-30,Aquitaine,False,False
34,-7657901638947419198,5834996864638208910,,False,False,False,2021-09-01 10:28:27 UTC,2021-09-02,,,,,,,,,,,,,,21-24,M,00,100,20+,I-K,33-34,Languedoc-Roussillon,False,False
35,936266494879689895,228216378686269052,,False,False,False,2021-09-01 06:42:14 UTC,2021-10-01,,,,,,,,,,,,,,21-24,M,00,100,00,O-R,35+,Midi-Pyrenees,False,False
36,6987667508081359549,792290361326944607,,False,False,False,2021-09-01 20:55:54 UTC,2021-09-02,,,,,,,,,,,,,,18-20,M,00,100,20+,F-H,31-32,Haute-Normandie,False,False
37,-7479426711239220220,7809938732050164863,,False,False,False,2021-09-01 18:57:37 UTC,2021-09-27,,,,,,,,,,,,,,40-59,M,15+,050,10-14,F-H,29-30,Lorraine,True,False
38,-5382449663858699318,6007475069273989421,,False,False,False,2021-09-01 10:08:15 UTC,2021-09-10,,,,,,,,,,,,,,21-24,M,00,100,10-14,O-R,35+,Bourgogne,False,False
39,1146987361378656154,1394443254692511978,,False,False,False,2021-09-01 15:10:29 UTC,2021-09-03,,,,,,,,,,,,,,18-20,M,00,100,20+,I-K,31-32,Franche-Comte,False,False
40,8271593862447531495,4806477340156473328,,False,False,False,2021-09-01 15:05:30 UTC,2021-10-01,,,,,,,,,,,,,,40-59,M,15+,050,03-05,,,Ile-De-France,False,False
41,-847420996473296307,6417788977143244366,,False,False,False,2021-09-01 12:00:27 UTC,2021-09-02,,,,,,,,,,,,,,21-24,M,00,100,10-14,L-N,31-32,Picardie,False,False
42,-8996405079920623019,-2221289671752720661,,False,False,False,2021-09-01 04:50:00 UTC,2021-09-01,,,,,,,,,,,,,,21-24,F,00,100,00,L-N,35+,Ile-De-France,False,False
43,-7716650210347015126,-8325855463165778363,,False,False,False,2021-09-01 14:58:21 UTC,2021-10-01,,,,,,,,,,,,,,18-20,M,00,100,20+,F-H,29-30,Pays De La Loire,False,False
